Spoken form, Cursorless identifier
array, squareBrackets
curly, curlyBrackets
angle, angleBrackets
escaped box, escapedSquareBrackets
escaped quad, escapedDoubleQuotes
escaped round, escapedParentheses
escaped twin, escapedSingleQuotes
pair, any
quad, doubleQuotes
round, parentheses
skis, backtickQuotes
twin, singleQuotes
void, whitespace
